무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
F4421,서울특별시,마포구,특별시도,,월드컵로,1,서울특별시 마포구 월드컵로 36,,37.5526923,126.9124983,GS25 합정웰빙점 건너편,1,50,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4424,서울특별시,마포구,특별시도,,만리재로,2,서울특별시 마포구 만리재로 89,,37.5486026,126.959115,노블레스오피스텔 앞,1,50,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4425,서울특별시,구로구,특별시도,,남부순환로,2,서울특별시 구로구 구로동 692-4,서울특별시 구로구 구로동 692-4,37.48845942,126.8768618,구로IC 앞,1,50,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4426,서울특별시,강남구,특별시도,,논현로,1,서울특별시 강남구 논현로 50,,37.4750296,127.047735,한영빌딩 앞,1,50,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4430,서울특별시,강남구,고속국도,51,분당-내곡간 고속화도로,1,서울특별시 강남구 개포동 산 164-2,서울특별시 강남구 개포동 산 164-2,37.4743038,127.060405,구룡터널북단 후방 50m,1,80,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4730,서울특별시,구로구,특별시도,,남부순환로,2,서울특별시 구로구 남부순환로 775,,37.50156787,126.8471623,개봉1동사거리,2,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F4732,서울특별시,성북구,특별시도,,동소문로,1,서울특별시 성북구 동소문로 72,,37.59177,127.013506,성북구청입구 교차로,2,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F4733,서울특별시,동대문구,특별시도,,고산자로,1,서울특별시 동대문구 고산자로 379,,37.57364767,127.0377202,동대문구청사거리,2,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F4734,서울특별시,강동구,일반국도,43,천호대로,2,서울특별시 강동구 천호대로 1106,,37.53486622,127.134362,강동성심병원 앞 교차로,2,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F4738,서울특별시,성북구,특별시도,,한천로,1,서울특별시 성북구 한천로 636,,37.61533339,127.058516,장위119안전센터 앞,2,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F4830,서울특별시,영등포구,특별시도,,영등포로,1,서울특별시 영등포구 영등포로 271-2,,37.51872554,126.9117337,영등포로터리,2,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5362,서울특별시,강서구,특별시도,,등촌로,2,서울특별시 강서구 등촌로 137,,37.54191308,126.8626072,등마초교 입구,2,50,,,2,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5363,서울특별시,양천구,특별시도,,등촌로,1,서울특별시 양천구 등촌로 142,,37.54273046,126.8631374,등마초교 건너편,2,50,,,2,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5375,서울특별시,용산구,특별시도,,서빙고로,1,서울특별시 용산구 서빙고로 246,,37.519975,126.990862,서빙고역 교차로,2,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5384,서울특별시,강동구,특별시도,,양재대로,1,서울특별시 강동구 양재대로 1440,,37.53438895,127.1391394,길동사거리,2,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5388,서울특별시,중구,특별시도,,을지로,2,서울특별시 중구 을지로 35,,37.56649182,126.9818658,을지로1가 교차로,2,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5390,서울특별시,종로구,일반국도,6,종로,1,서울특별시 종로구 종로 344,,37.57272286,127.0160832,동묘앞역 교차로,2,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5393,서울특별시,양천구,특별시도,,신월로,1,서울특별시 양천구 신정동 1316-8,,37.513825,126.828996,신정이펜하우스3단지 앞 사거리,2,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5394,서울특별시,동작구,특별시도,,장승배기로,2,서울특별시 동작구 장승배기로 11-1,,37.49962,126.9429971,신상도초교 건너편,2,30,,,2,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5395,서울특별시,강남구,특별시도,,선릉로,2,서울특별시 강남구 선릉로 209,,37.4926466,127.0533774,대도초교 앞,2,50,,,2,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5398,서울특별시,중랑구,특별시도,,사가정로,1,서울특별시 중랑구 사가정로 326,,37.581231,127.0807092,장안교사거리,2,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5401,서울특별시,강동구,특별시도,,성안로,1,서울특별시 강동구 성안로 200,,37.541057,127.1378287,천동초교앞 삼거리,2,30,,,2,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5402,서울특별시,강남구,특별시도,,선릉로,1,서울특별시 강남구 대치동 888-1,,37.495228,127.053598,대치아이파크 앞,2,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5404,서울특별시,동대문구,특별시도,,장안벚꽃로,2,서울특별시 동대문구 장안벚꽃로 205,,37.57855999,127.0757616,은석초교 앞,1,30,,,2,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5407,서울특별시,강남구,특별시도,,헌릉로,2,서울특별시 강남구 세곡동 389-5,서울특별시 강남구 세곡동 389-5,37.46476211,127.0943281,헌릉IC 앞,1,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5408,서울특별시,서초구,특별시도,,헌릉로,1,서울특별시 서초구 헌릉로 344,,37.4588448,127.0775524,내곡IC 앞,1,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5409,서울특별시,송파구,고속국도,88,올림픽대로,2,서울특별시 송파구 잠실동 1,서울특별시 송파구 잠실동 1,37.51832853,127.0730667,주경기장 앞,1,80,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5412,서울특별시,종로구,일반국도,48,사직로,1,서울특별시 종로구 사직로 70,,37.57404415,126.967268,광화문풍림스페이스본 아파트,1,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5414,서울특별시,동작구,고속국도,88,올림픽대로,2,서울특별시 동작구 동작동 316-2,서울특별시 동작구 동작동 316-2,37.50504513,126.9766603,노량대교 진입부,1,80,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5416,서울특별시,동작구,고속국도,88,올림픽대로,2,서울특별시 동작구 본동 477-1,서울특별시 동작구 본동 477-1,37.5153035,126.9522458,한강철교 앞,1,80,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5419,서울특별시,중랑구,특별시도,,면목로,2,서울특별시 중랑구 면목로 429,,37.59019347,127.0868261,면목초교 건너편,1,50,,,2,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5420,서울특별시,성북구,특별시도,,종암로,2,서울특별시 성북구 종암로 83,,37.59769185,127.0347307,천주교종암동교회 건너편,1,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5426,서울특별시,강남구,고속국도,171,서울-용인고속도로,1,서울특별시 강남구 세곡동 산 52-46,서울특별시 강남구 세곡동 산 52-46,37.46318928,127.0932523,헌릉IC 진입전,1,60,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5427,서울특별시,동작구,특별시도,,사당로,2,서울특별시 동작구 사당로 136,,37.48915448,126.965561,반석블레스아파트 앞,1,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5428,서울특별시,성북구,특별시도,,종암로,1,서울특별시 성북구 종암로 80,,37.59743153,127.03544,종암동성당 앞,1,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5429,서울특별시,은평구,특별시도,,통일로,1,서울특별시 은평구 통일로 586,,37.59964368,126.9375026,녹번대림아파트 앞,1,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5430,서울특별시,중구,특별시도,,동호로,2,서울특별시 중구 동호로 161,,37.55281234,127.0117835,중구청소년수련관 앞,1,50,,,,2009,서울특별시경찰청,02-700-5031,8/19/2022
F5619,서울특별시,마포구,고속국도,70,강변북로,1,서울특별시 마포구 상암동 487-92,서울특별시 마포구 상암동 487-92,37.56397334,126.8847774,한강공원난지지구 앞,1,80,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5626,서울특별시,동작구,특별시도,,현충로,1,서울특별시 동작구 현충로 105,,37.50783722,126.9656085,명수대현대아파트 102동앞,2,50,,,2,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5627,서울특별시,동작구,특별시도,,현충로,2,서울특별시 동작구 현충로 80,,37.5090905,126.9631596,중앙대입구 교차로,2,50,,,2,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5630,서울특별시,중구,특별시도,,동호로,2,서울특별시 중구 장충동2가 200-100,,37.558826,127.006086,장충 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5631,서울특별시,동대문구,특별시도,,한천로,2,서울특별시 동대문구 한천로 425-1,,37.598573,127.0675393,쌍용아파트 104동 건너편,2,30,,,2,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5632,서울특별시,성북구,특별시도,,정릉로,1,서울특별시 성북구 정릉로 454,,37.603285,127.0316301,종암사거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5636,서울특별시,종로구,특별시도,,진흥로,2,서울특별시 종로구 진흥로 480,,37.60584046,126.9602761,신영119안전센터 건너편,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5639,서울특별시,중구,특별시도,,퇴계로,1,서울특별시 중구 퇴계로 100,,37.56020699,126.9829265,회현사거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5643,서울특별시,영등포구,특별시도,,선유로,1,서울특별시 영등포구 선유로 270,,37.53633216,126.8987743,양평동사거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5645,서울특별시,구로구,일반국도,46,경인로,1,서울특별시 구로구 경인로 334,,37.49709148,126.8572337,개봉사거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5647,서울특별시,마포구,일반국도,6,신촌로,1,서울특별시 마포구 신촌로 106,,37.55503129,126.9377942,신촌오거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5648,서울특별시,서대문구,특별시도,,통일로,1,서울특별시 서대문구 통일로 416,,37.58660301,126.946988,홍제삼거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5865,서울특별시,양천구,특별시도,,오목로,1,서울특별시 양천구 오목로 22,,37.52139142,126.8403763,강서초교사거리,2,30,,,2,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5866,서울특별시,강서구,특별시도,,방화대로,1,서울특별시 강서구 방화대로 319,,37.56919887,126.8161774,송화초등학교 앞,2,50,,,2,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5867,서울특별시,강서구,일반국도,6,공항대로,1,서울특별시 강서구 공항대로 521,,37.55156765,126.8644078,등촌삼거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5868,서울특별시,강서구,특별시도,,강서로,2,서울특별시 강서구 강서로 63,,37.5332369,126.845549,화곡터널입구 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5870,서울특별시,양천구,특별시도,,남부순환로,1,서울특별시 양천구 남부순환로 303,,37.53959273,126.8262153,화곡로입구 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5871,서울특별시,양천구,특별시도,,신월로,1,서울특별시 양천구 신월로 200,,37.52008282,126.8448493,신신월주유소 건너편,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5874,서울특별시,양천구,특별시도,,목동로,2,서울특별시 양천구 목동로 193,,37.52570868,126.864113,목동오거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5876,서울특별시,구로구,특별시도,,공원로,2,서울특별시 구로구 공원로 83,,37.50364624,126.8875442,미래초교앞 교차로,2,30,,,2,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5878,서울특별시,구로구,특별시도,,구로중앙로,2,서울특별시 구로구 경인로 558,,37.50243573,126.8797605,구로역 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5880,서울특별시,구로구,일반국도,46,경인로,2,서울특별시 구로구 경인로 611-7,,37.50641601,126.8838121,신도림6차e편한세상 902동 앞,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5881,서울특별시,금천구,특별시도,,시흥대로,2,서울특별시 금천구 시흥대로 399,,37.46935918,126.8970019,금천우체국 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5884,서울특별시,영등포구,특별시도,,시흥대로,2,서울특별시 영등포구 시흥대로 681,,37.49231066,126.9087284,대림삼거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5885,서울특별시,양천구,특별시도,,안양천로,1,서울특별시 양천구 안양천로 812,,37.51837597,126.8776902,목동현대아파트 104동 건너편,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5889,서울특별시,동작구,특별시도,,사당로,1,서울특별시 동작구 사당로 18-1,,37.49518192,126.9564432,숭실대형남공학관 앞,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5890,서울특별시,동작구,특별시도,,상도로,1,서울특별시 동작구 상도로 293,,37.50163381,126.9493491,GS25상도역점 앞,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5891,서울특별시,동작구,특별시도,,여의대방로,1,서울특별시 동작구 여의대방로 128,,37.49846478,126.9205327,대방천사거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5893,서울특별시,동작구,특별시도,,남부순환로,2,서울특별시 동작구 남부순환로 2059,,37.47691752,126.977537,신한은행 앞,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5894,서울특별시,관악구,특별시도,,남부순환로,2,서울특별시 관악구 남부순환로 1860,,37.47962478,126.9562858,원당초교입구 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5895,서울특별시,관악구,특별시도,,남부순환로,1,서울특별시 관악구 남부순환로 1817,,37.48164117,126.9521444,서울대입구역,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5896,서울특별시,관악구,특별시도,,호암로,1,서울특별시 관악구 호암로 520,,37.46411546,126.9318251,벽산블루밍아파트101동 앞,2,40,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5900,서울특별시,마포구,특별시도,,독막로,1,서울특별시 마포구 독막로 146,,37.54739821,126.929767,서강쌍용예가아파트 112동 건너편,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5901,서울특별시,마포구,특별시도,,월드컵로,2,서울특별시 마포구 월드컵로 365,,37.57246315,126.8870483,월드컵파크3단지 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5902,서울특별시,마포구,특별시도,,월드컵북로,2,서울특별시 마포구 월드컵북로 416,,37.58052679,126.8877266,월드컵파크5단지 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5904,서울특별시,마포구,일반국도,48,성산로,1,서울특별시 마포구 성산동 354-5,서울특별시 마포구 성산동 354-5,37.56286334,126.9039827,마포구청역사거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5908,서울특별시,마포구,특별시도,,월드컵북로,1,서울특별시 마포구 월드컵북로 74,,37.56060739,126.9163,경성고교입구 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5909,서울특별시,서대문구,일반국도,6,신촌로,2,서울특별시 서대문구 신촌로 145,,37.55681593,126.942123,신촌기차역입구 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5913,서울특별시,서대문구,특별시도,,연희로,2,서울특별시 서대문구 연희로 173,,37.57249887,126.9350607,서대문소방서 건너편,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5914,서울특별시,서대문구,특별시도,,통일로,2,서울특별시 서대문구 통일로 113,,37.56508532,126.9670743,서대문역사거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5916,서울특별시,영등포구,일반국도,46,도림로,2,서울특별시 영등포구 도림로 415,,37.51325696,126.8964817,문래동사거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5917,서울특별시,은평구,특별시도,,통일로,1,서울특별시 은평구 통일로 708,,37.60923882,126.9312642,서울혁신파크 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5925,서울특별시,종로구,특별시도,,율곡로,2,서울특별시 종로구 율곡로 166,,37.5758064,126.996955,원남동사거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5928,서울특별시,용산구,특별시도,,녹사평대로,2,서울특별시 용산구 녹사평대로 73,,37.52361192,126.9927909,52게이트앞 삼거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5929,서울특별시,용산구,특별시도,,녹사평대로,2,서울특별시 용산구 녹사평대로 234,,37.53849833,126.9871582,재정관리단 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5930,서울특별시,용산구,특별시도,,한강대로,1,서울특별시 용산구 한강대로 26,,37.52310219,126.9628808,한강대교북단 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5931,서울특별시,용산구,특별시도,,녹사평대로,1,서울특별시 용산구 녹사평대로 234,,37.538472,126.9871582,재정관리단앞 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5932,서울특별시,용산구,특별시도,,한강대로,1,서울특별시 용산구 한강대로 270,,37.542312,126.9730345,남영삼거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5933,서울특별시,용산구,특별시도,,한강대로,2,서울특별시 용산구 한강로2가 317,,37.529259,126.967693,신용산역삼거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5939,서울특별시,서초구,특별시도,,남부순환로,2,서울특별시 서초구 남부순환로 2395,,37.48067181,127.0123672,예술의전당앞사거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5942,서울특별시,영등포구,특별시도,,여의대방로,2,서울특별시 영등포구 여의대방로 383,,37.51934369,126.9315042,한양아파트앞 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5946,서울특별시,강남구,특별시도,,남부순환로,2,서울특별시 강남구 남부순환로 2653,,37.48586782,127.0403271,양재전화국사거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5947,서울특별시,강남구,특별시도,,삼성로,1,서울특별시 강남구 삼성로 508,,37.50777396,127.0566328,포스코사거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5948,서울특별시,강남구,특별시도,,논현로,2,서울특별시 강남구 논현로 873,,37.52660081,127.0282355,압구정역 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5950,서울특별시,강남구,특별시도,,테헤란로,1,서울특별시 강남구 테헤란로 108,,37.49796957,127.0291232,강남역사거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5951,서울특별시,강동구,일반국도,43,천호대로,1,서울특별시 강동구 천호대로 1298,,37.53826544,127.1546194,생태공원앞 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5955,서울특별시,송파구,특별시도,,탄천동로,2,서울특별시 송파구 탄천동로 36,,37.51534342,127.0692513,삼성교동측 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5956,서울특별시,강동구,일반국도,43,조정대로,2,서울특별시 강동구 상일동 20-10,,37.549547,127.182677,상일IC 진입전,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5965,서울특별시,은평구,특별시도,,북한산로,2,서울특별시 은평구 진관동 289,서울특별시 은평구 진관동 289,37.65824239,126.9454044,북한산성입구 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5967,서울특별시,동대문구,일반국도,6,왕산로,2,서울특별시 동대문구 왕산로 303,,37.588886,127.051311,시조사삼거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5968,서울특별시,동대문구,일반국도,6,망우로,1,서울특별시 동대문구 망우로 131,,37.59184757,127.0674278,중랑교 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5970,서울특별시,강북구,특별시도,,도봉로,1,서울특별시 강북구 도봉로 296,,37.63491155,127.0236168,수유사거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5971,서울특별시,강북구,특별시도,,도봉로,2,서울특별시 강북구 도봉로 301,,37.63547025,127.0226733,수유삼거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5972,서울특별시,강북구,특별시도,,도봉로,2,서울특별시 강북구 도봉로 337,,37.63802609,127.025269,수유역 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5973,서울특별시,노원구,특별시도,,노원로,2,서울특별시 노원구 노원로 75,,37.62881715,127.082693,서울과학기술대 후문,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5975,서울특별시,노원구,특별시도,,노원로,1,서울특별시 노원구 노원로 130,,37.63519718,127.0873616,원자력병원입구사거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5976,서울특별시,도봉구,특별시도,,마들로,2,서울특별시 도봉구 마들로 659,,37.66914,127.0459326,도봉구청 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5978,서울특별시,도봉구,특별시도,,도봉로,1,서울특별시 도봉구 도봉로 458,,37.646577,127.0338736,창동시장입구 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5979,서울특별시,도봉구,특별시도,,방학로,1,서울특별시 도봉구 방학로 49,,37.66244567,127.046804,서울문화고교 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5980,서울특별시,성북구,특별시도,,한천로,2,서울특별시 성북구 한천로 509,,37.60698616,127.0657342,석관중 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5981,서울특별시,성북구,특별시도,,동소문로,2,서울특별시 성북구 동소문로 327,,37.609032,127.0297352,미아사거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5983,서울특별시,관악구,특별시도,,신림로,1,서울특별시 관악구 신림로 114,,37.47200331,126.9367542,신성초교앞 교차로,2,50,,,2,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5984,서울특별시,성북구,특별시도,,한천로,2,서울특별시 성북구 한천로 595,,37.6121808,127.0610595,장위사거리,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5985,서울특별시,성북구,특별시도,,돌곶이로,2,서울특별시 성북구 돌곶이로 77,,37.61032674,127.0573056,돌곶이역 교차로,2,50,,,,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5986,서울특별시,양천구,특별시도,,목동남로,1,서울특별시 양천구 목동남로 93,,37.51151538,126.8688757,갈산초교 후문 앞,2,30,,,2,2010,서울특별시경찰청,02-700-5031,8/19/2022
F5987,서울특별시,성북구,특별시도,,정릉로,2,서울특별시 성북구 정릉로 272,,37.60313609,127.013608,아리랑고개입구 교차로,2,50,,,2,2010,서울특별시경찰청,02-700-5031,8/19/2022
F6145,서울특별시,서초구,특별시도,,서운로,1,서울특별시 서초구 서운로 178,,37.49904877,127.0248915,서초초교 앞,2,30,,,2,2011,서울특별시경찰청,02-700-5031,8/19/2022
F6147,서울특별시,서초구,특별시도,,헌릉로,2,서울특별시 서초구 헌릉로 260,,37.45571728,127.0688514,서울특별시립어린이병원 건너편,1,50,,,,2011,서울특별시경찰청,02-700-5031,8/19/2022
